"TIME","CH1","CH2","CH4"
-5.0000e+01,0.4882,-0.536,-21.2
-4.9990e+01,0.4882,-0.536,-21.2
-4.9980e+01,0.4882,-0.536,-21.2
-4.9970e+01,0.4882,-0.536,-21.2
-4.9960e+01,0.4882,-0.536,-21.2
-4.9950e+01,0.4882,-0.536,-21.2
-4.9940e+01,0.4882,-0.536,-21.2
-4.9930e+01,0.4882,-0.536,-21.2
-4.9920e+01,0.4882,-0.536,-21.2
-4.9910e+01,0.4882,-0.536,-21.2
-4.9900e+01,0.4882,-0.536,-21.2
-4.9890e+01,0.4882,-0.536,-21.2
-4.9880e+01,0.4882,-0.536,-21.2
-4.9870e+01,0.4882,-0.536,-21.2
-4.9860e+01,0.4882,-0.536,-21.2
-4.9850e+01,0.4882,-0.536,-21.2
-4.9840e+01,0.4882,-0.536,-21.2
-4.9830e+01,0.4882,-0.536,-21.2
-4.9820e+01,0.4882,-0.536,-21.2
-4.9810e+01,0.4882,-0.536,-21.2
-4.9800e+01,0.4882,-0.536,-21.2
-4.9790e+01,0.4882,-0.536,-21.2
-4.9780e+01,0.4882,-0.536,-21.2
-4.9770e+01,0.531,0.328,1.2
-4.9760e+01,0.5296,0.324,1.2
-4.9750e+01,0.5306,0.328,1.2
-4.9740e+01,0.5296,0.312,1.4
-4.9730e+01,0.5318,0.316,1.4
-4.9720e+01,0.5298,0.328,1.4
-4.9710e+01,0.5312,0.324,1
-4.9700e+01,0.5292,0.332,1.4
-4.9690e+01,0.531,0.32,1.2
-4.9680e+01,0.5294,0.328,1.4
-4.9670e+01,0.5318,0.324,1.8
-4.9660e+01,0.5304,0.328,1.2
-4.9650e+01,0.531,0.324,1.6
-4.9640e+01,0.5298,0.328,1.4
-4.9630e+01,0.5302,0.324,1.2
-4.9620e+01,0.5304,0.328,1.2
-4.9610e+01,0.5322,0.324,1.4
-4.9600e+01,0.53,0.312,1.4
-4.9590e+01,0.5322,0.324,1.4
-4.9580e+01,0.5292,0.332,1.4
