"TIME","CH1","CH2","CH3"
-1.0540e-02,-1.48,2.4,0.32
-1.0538e-02,-1.46,2.4,0.28
-1.0536e-02,-1.54,2.4,0.36
-1.0534e-02,-1.5,2.3,0.28
-1.0532e-02,-1.5,2.3,0.4
-1.0530e-02,-1.54,2.3,0.4
-1.0528e-02,-1.44,2.1,0.36
-1.0526e-02,-1.48,2.2,0.28
-1.0524e-02,-1.52,2.4,0.36
-1.0522e-02,-1.48,2.5,0.44
-1.0520e-02,-1.48,2.3,0.32
-1.0518e-02,-1.48,2.3,0.36
-1.0516e-02,-1.54,2.5,0.32
-1.0514e-02,-1.46,2.1,0.28
-1.0512e-02,-1.52,2.4,0.32
-1.0510e-02,-1.38,2.4,0.4
-1.0508e-02,-1.52,2.2,0.36
-1.0506e-02,-1.52,2.3,0.32
-1.0504e-02,-1.48,2.4,0.36
-1.0502e-02,-1.52,2.4,0.36
-1.0500e-02,-1.44,2.5,0.44
-1.0498e-02,-1.4,2.3,0.4
-1.0496e-02,-1.48,2.2,0.32
-1.0494e-02,-1.5,2.4,0.36
-1.0492e-02,-1.44,2.3,0.36
-1.0490e-02,-1.5,2.5,0.32
-1.0488e-02,-1.54,2.2,0.44
-1.0486e-02,-1.52,2.4,0.48
-1.0484e-02,-1.5,2.3,0.36
-1.0482e-02,-1.52,2.4,0.36
-1.0480e-02,-1.54,2.2,0.48
-1.0478e-02,-1.5,2.5,0.32
-1.0476e-02,-1.5,2.6,0.32
-1.0474e-02,-1.54,2.4,0.32
-1.0472e-02,-1.48,2.3,0.32
-1.0470e-02,-1.52,2.4,0.4
-1.0468e-02,-1.52,2.4,0.4
-1.0466e-02,-1.54,2.3,0.48
-1.0464e-02,-1.52,2.4,0.48
-1.0462e-02,-1.5,2.4,0.36
-1.0460e-02,-1.5,2.3,0.36
-1.0458e-02,-1.52,2.5,0.36
-1.0456e-02,-1.48,2.2,0.36
-1.0454e-02,-1.52,2.4,0.4
-1.0452e-02,-1.48,2.3,0.36
-1.0450e-02,-1.5,2.1,0.4
-1.0448e-02,-1.56,2.4,0.4
-1.0446e-02,-1.54,2.1,0.4
-1.0444e-02,-1.52,2.2,0.4
-1.0442e-02,-1.52,2.5,0.32
-1.0440e-02,-1.56,2.4,0.4
-1.0438e-02,-1.5,2.5,0.48
-1.0436e-02,-1.58,2.4,0.36
-1.0434e-02,-1.6,2.3,0.44
-1.0432e-02,-1.5,2.2,0.4
-1.0430e-02,-1.5,2.5,0.4
-1.0428e-02,-1.56,2.2,0.36
-1.0426e-02,-1.54,2.3,0.44
-1.0424e-02,-1.46,2.4,0.48
-1.0422e-02,-1.5,2.4,0.32
-1.0420e-02,-1.52,2.5,0.48
-1.0418e-02,-1.54,2.2,0.4
-1.0416e-02,-1.56,2.3,0.48
-1.0414e-02,-1.56,2.4,0.36
-1.0412e-02,-1.46,2.4,0.44
-1.0410e-02,-1.56,2.5,0.4
-1.0408e-02,-1.5,2.4,0.4
-1.0406e-02,-1.48,2.5,0.32
-1.0404e-02,-1.48,2.3,0.4
-1.0402e-02,-1.5,2.2,0.44
